Year,Month,Cumulative Gross,Percent of Year,Releases,Average,Top Release,Gross Top Release,Percent of Total
2010,January,"$1,058,456,877 ",10%,145,"$7,299,702 ",Avatar,"$312,128,206 ",29.50%
2010,February,"$753,315,985 ",7.10%,153,"$4,923,633 ",Avatar,"$110,807,652 ",14.70%
2010,March,"$835,644,486 ",7.90%,173,"$4,830,314 ",Alice in Wonderland,"$299,459,690 ",35.80%
2010,April,"$751,952,096 ",7.10%,185,"$4,064,605 ",Clash of the Titans,"$149,722,334 ",19.90%
2010,May,"$904,239,188 ",8.50%,176,"$5,137,722 ",Iron Man 2,"$279,653,149 ",30.90%
2010,June,"$1,069,483,595 ",10.10%,178,"$6,008,334 ",Toy Story 3,"$251,344,663 ",23.50%
2010,July,"$1,318,484,293 ",12.50%,177,"$7,449,063 ",The Twilight Saga: Eclipse,"$218,469,293 ",16.60%
2010,August,"$876,222,471 ",8.30%,178,"$4,922,598 ",The Other Guys,"$100,383,645 ",11.50%
2010,September,"$546,161,985 ",5.20%,199,"$2,744,532 ",The Town,"$54,307,420 ",9.90%
2010,October,"$687,745,062 ",6.50%,207,"$3,322,439 ",Jackass 3D,"$101,657,558 ",14.80%
2010,November,"$901,238,665 ",8.50%,183,"$4,924,801 ",Harry Potter and the Deathly Hallows: Part 1,"$223,673,772 ",24.80%
2010,December,"$882,442,237 ",8.30%,179,"$4,929,844 ",Tron: Legacy,"$117,540,071 ",13.30%
2011,January,"$753,096,295 ",7.40%,154,"$4,890,235 ",The Green Hornet,"$79,116,896 ",10.50%
2011,February,"$657,343,240 ",6.50%,172,"$3,821,763 ",Just Go with It,"$79,457,552 ",12.10%
2011,March,"$683,589,521 ",6.70%,178,"$3,840,390 ",Rango,"$109,223,302 ",16%
2011,April,"$792,199,794 ",7.80%,198,"$4,001,009 ",Hop,"$104,656,925 ",13.20%
2011,May,"$1,036,557,263 ",10.20%,190,"$5,455,564 ",Pirates of the Caribbean: On Stranger Tides,"$166,774,780 ",16.10%
2011,June,"$1,006,668,443 ",9.90%,182,"$5,531,145 ",X-Men: First Class,"$135,711,727 ",13.50%
2011,July,"$1,394,775,988 ",13.70%,192,"$7,264,458 ",Harry Potter and the Deathly Hallows: Part 2,"$318,511,602 ",22.80%
2011,August,"$894,750,767 ",8.80%,198,"$4,518,943 ",Rise of the Planet of the Apes,"$151,459,484 ",16.90%
2011,September,"$603,510,800 ",5.90%,237,"$2,546,459 ",The Lion King,"$71,891,486 ",11.90%
2011,October,"$595,695,769 ",5.90%,214,"$2,783,625 ",Paranormal Activity 3,"$83,450,755 ",14%
2011,November,"$859,724,536 ",8.50%,207,"$4,153,258 ",The Twilight Saga: Breaking Dawn - Part 1,"$228,151,826 ",26.50%
2011,December,"$877,782,943 ",8.60%,177,"$4,959,225 ",Sherlock Holmes: A Game of Shadows,"$124,051,629 ",14.10%
2012,January,"$830,334,966 ",7.70%,163,"$5,094,079 ",Mission: Impossible - Ghost Protocol,"$80,700,258 ",9.70%
